Date,Name of Event or Training,Type of Event,Training Type (if applicable),Duration (Hours),Virtual or In-Person,Location,Training or Event Capacity,Total Participants,Total Registrants,"Percent of participants with increased knowledge, skills, and/or abilities",Population/Audience/Sector,Is this training a part of an organizational policy?,Alignment with RG strategic map,Number of Native Hawaiian or Other Pacific Islander Participants,Number of Asian Participants,Number of American Indian or Alaska Native Participants,Number of White Participants,Number of Black/African American Participants,Middle Eastern or North African,Number of Hispanic or Latino Participants,Number of Multiracial Participants,Notes and Additional Information
12/18/2023,Event 85,Awareness Event,Strengthening Families Georgia,1,Virtual,Colquitt,24,79,57,86%,Business,Yes,Promote Sustainable Systems/Policy Change,7,8,3,5,0,10,1,6,No additional notes
11/09/2023,Event 87,Community Outreach,N/A,4,In-Person,Grady,77,18,27,N/A,First Responders,No,Promote Sustainable Systems/Policy Change,1,8,9,6,3,7,8,4,No additional notes
10/23/2023,Event 38,Awareness Event,"Resilient Parent, Becoming A",2,Virtual,Seminole,37,42,79,99%,Parents/Caregivers,No,Convene and Align Training Groups,1,6,7,10,3,10,6,6,No additional notes
12/23/2023,Event 6,Training,Strengthening Families Georgia,1,In-Person,Decatur,50,69,22,66%,Youth-Serving Org,Yes,Promote Sustainable Systems/Policy Change,2,3,8,4,8,6,8,8,No additional notes
12/21/2023,Event 98,Training,N/A,2,In-Person,Mitchell,77,25,67,80%,Faith-Based Org,No,Convene and Align Training Groups,8,7,1,2,3,9,0,2,No additional notes
10/16/2023,Event 39,Awareness Event,MHFA (Mental Health First Aid),1,In-Person,Colquitt,87,52,34,61%,Faith-Based Org,Yes,Convene and Align Training Groups,9,3,7,10,10,9,1,1,No additional notes
11/27/2023,Event 94,Community Outreach,CRM (Community Resiliency Model),2,In-Person,Seminole,59,100,20,75%,Parents/Caregivers,No,Prevent ACEs/Foster PCEs,0,5,5,8,5,0,2,5,No additional notes
12/18/2023,Event 15,Awareness Event,MHFA (Mental Health First Aid),1,Virtual,Miller,26,59,78,83%,First Responders,No,Promote Sustainable Systems/Policy Change,4,5,0,1,5,1,9,6,Special remarks
10/20/2023,Event 90,Community Outreach,Connections Matter,4,Virtual,Mitchell,73,62,69,96%,Parents/Caregivers,Yes,Expand Access in Rural/Under Resourced Area,3,2,5,5,8,1,3,0,No additional notes
10/10/2023,Event 28,Training,"QPR (Question, Persuade, Refer)",3,In-Person,Thomas,92,55,27,N/A,Youth-Serving Org,No,Convene and Align Training Groups,1,2,5,4,9,6,4,9,No additional notes
11/27/2023,Event 48,Training,"Resilient Parent, Becoming A",1,In-Person,Seminole,72,86,63,53%,Parents/Caregivers,No,Prevent ACEs/Foster PCEs,2,8,4,0,8,0,3,3,No additional notes
11/20/2023,Event 58,Community Outreach,ASIST (Applied Suicide Intervention Skills Training),4,Virtual,Mitchell,87,62,40,69%,Faith-Based Org,Yes,Prevent ACEs/Foster PCEs,8,7,1,4,6,10,5,3,Special remarks
12/11/2023,Event 18,Training,N/A,4,In-Person,Grady,87,32,79,93%,Youth-Serving Org,No,Promote Sustainable Systems/Policy Change,1,10,2,10,10,8,4,6,Special remarks
12/15/2023,Event 81,Training,Strengthening Families Georgia,1,In-Person,Colquitt,35,72,98,N/A,Business,Yes,Convene and Align Training Groups,0,4,5,3,2,8,4,7,No additional notes
11/24/2023,Event 73,Training,N/A,2,Virtual,Mitchell,85,94,68,N/A,First Responders,Yes,Expand Access in Rural/Under Resourced Area,7,4,8,10,4,4,6,1,No additional notes
11/11/2023,Event 100,Training,N/A,2,In-Person,Decatur,100,61,41,67%,Parents/Caregivers,No,Prevent ACEs/Foster PCEs,9,2,2,8,6,3,10,3,No additional notes
10/31/2023,Event 25,Training,SafeTALK,2,Virtual,Miller,24,70,67,91%,Parents/Caregivers,Yes,Prevent ACEs/Foster PCEs,3,10,9,0,10,7,3,2,No additional notes
10/05/2023,Event 56,Awareness Event,N/A,3,In-Person,Thomas,55,63,24,77%,Social Services,No,Prevent ACEs/Foster PCEs,10,2,3,9,6,6,9,0,No additional notes
12/18/2023,Event 10,Awareness Event,N/A,1,Virtual,Colquitt,44,40,51,82%,Social Services,Yes,Promote Sustainable Systems/Policy Change,2,1,4,6,9,2,5,10,No additional notes
11/23/2023,Event 46,Community Outreach,Strengthening Families Georgia,4,In-Person,Early,29,71,25,72%,Social Services,No,Promote Sustainable Systems/Policy Change,4,9,9,8,10,3,8,1,Special remarks
10/14/2023,Event 22,Awareness Event,MHFA (Mental Health First Aid),3,Virtual,Seminole,44,33,28,70%,Faith-Based Org,No,Expand Access in Rural/Under Resourced Area,1,7,5,3,0,7,10,3,No additional notes
12/25/2023,Event 96,Community Outreach,SafeTALK,1,In-Person,Miller,48,50,19,99%,Parents/Caregivers,No,Promote Sustainable Systems/Policy Change,6,8,9,4,0,4,8,6,Special remarks
12/20/2023,Event 43,Training,"Resilient Parent, Becoming A",4,In-Person,Mitchell,20,25,25,84%,Parents/Caregivers,Yes,Convene and Align Training Groups,8,6,9,8,5,10,8,9,No additional notes
10/27/2023,Event 26,Training,N/A,4,Virtual,Early,72,11,96,81%,Parents/Caregivers,No,Expand Access in Rural/Under Resourced Area,9,2,1,0,10,1,7,3,No additional notes
10/04/2023,Event 36,Training,"Resilient Parent, Becoming A",1,Virtual,Grady,89,60,84,91%,Parents/Caregivers,No,Prevent ACEs/Foster PCEs,8,6,6,4,8,1,10,7,Special remarks
11/19/2023,Event 81,Community Outreach,Strengthening Families Georgia,1,Virtual,Seminole,87,56,32,50%,Faith-Based Org,No,Expand Access in Rural/Under Resourced Area,2,5,8,5,2,0,0,6,No additional notes
10/30/2023,Event 33,Awareness Event,N/A,4,In-Person,Mitchell,70,67,80,75%,Community,No,Promote Sustainable Systems/Policy Change,1,5,4,5,10,6,7,4,No additional notes
11/25/2023,Event 13,Training,N/A,2,Virtual,Early,41,62,27,59%,Faith-Based Org,Yes,Convene and Align Training Groups,6,7,3,2,4,2,7,4,No additional notes
11/03/2023,Event 57,Community Outreach,N/A,1,Virtual,Early,65,96,72,84%,Parents/Caregivers,No,Convene and Align Training Groups,7,4,9,10,6,5,5,3,No additional notes
11/09/2023,Event 44,Awareness Event,MHFA (Mental Health First Aid),4,In-Person,Decatur,50,56,100,64%,Faith-Based Org,Yes,Expand Access in Rural/Under Resourced Area,7,5,0,8,2,2,7,4,Special remarks
12/23/2023,Event 8,Training,MHFA (Mental Health First Aid),3,In-Person,Early,37,19,37,51%,Youth-Serving Org,Yes,Expand Access in Rural/Under Resourced Area,5,4,2,8,1,6,6,4,No additional notes
12/08/2023,Event 82,Awareness Event,"QPR (Question, Persuade, Refer)",1,In-Person,Decatur,24,58,59,90%,Community,Yes,Expand Access in Rural/Under Resourced Area,5,5,2,8,2,0,8,10,No additional notes
11/19/2023,Event 22,Community Outreach,MHFA (Mental Health First Aid),2,Virtual,Decatur,89,35,24,96%,Faith-Based Org,No,Promote Sustainable Systems/Policy Change,0,8,1,8,2,10,6,9,No additional notes
11/11/2023,Event 6,Awareness Event,N/A,3,In-Person,Colquitt,75,13,68,87%,Business,No,Convene and Align Training Groups,6,1,2,9,6,8,10,7,Special remarks
12/22/2023,Event 10,Training,MHFA (Mental Health First Aid),2,Virtual,Grady,97,30,36,82%,Faith-Based Org,Yes,Convene and Align Training Groups,7,2,6,5,10,9,10,4,No additional notes
10/04/2023,Event 26,Awareness Event,N/A,1,Virtual,Brooks,48,94,41,62%,Parents/Caregivers,Yes,Promote Sustainable Systems/Policy Change,1,8,7,5,3,7,3,6,Special remarks
10/30/2023,Event 2,Training,"QPR (Question, Persuade, Refer)",2,In-Person,Brooks,53,54,72,80%,Faith-Based Org,No,Convene and Align Training Groups,2,5,3,6,1,0,5,5,No additional notes
12/29/2023,Event 64,Awareness Event,"QPR (Question, Persuade, Refer)",3,Virtual,Decatur,93,43,95,77%,First Responders,No,Expand Access in Rural/Under Resourced Area,5,9,2,5,0,7,10,8,No additional notes
11/21/2023,Event 83,Awareness Event,N/A,1,Virtual,Early,70,96,80,78%,Community,Yes,Promote Sustainable Systems/Policy Change,0,9,10,8,7,3,6,2,No additional notes
10/02/2023,Event 82,Awareness Event,Connections Matter,2,Virtual,Grady,22,32,17,54%,Youth-Serving Org,No,Convene and Align Training Groups,10,8,2,3,2,6,5,8,Special remarks
11/08/2023,Event 91,Awareness Event,Connections Matter,2,Virtual,Thomas,76,32,67,79%,Faith-Based Org,Yes,Promote Sustainable Systems/Policy Change,8,2,2,5,1,1,5,1,No additional notes
11/22/2023,Event 89,Awareness Event,ASIST (Applied Suicide Intervention Skills Training),2,In-Person,Seminole,74,97,92,90%,Business,Yes,Promote Sustainable Systems/Policy Change,3,7,0,3,5,7,0,2,Special remarks
12/10/2023,Event 23,Community Outreach,SafeTALK,1,In-Person,Brooks,84,33,62,55%,First Responders,No,Prevent ACEs/Foster PCEs,8,9,1,3,8,5,8,10,No additional notes
10/09/2023,Event 36,Awareness Event,"Resilient Parent, Becoming A",1,Virtual,Early,20,62,77,62%,Business,Yes,Prevent ACEs/Foster PCEs,1,9,2,10,0,6,3,6,No additional notes
12/25/2023,Event 1,Awareness Event,"QPR (Question, Persuade, Refer)",4,In-Person,Grady,58,90,53,53%,First Responders,No,Promote Sustainable Systems/Policy Change,5,8,10,6,6,6,2,0,No additional notes
12/01/2023,Event 52,Community Outreach,N/A,2,Virtual,Miller,81,14,76,50%,Youth-Serving Org,Yes,Convene and Align Training Groups,2,9,4,8,8,3,4,0,No additional notes
10/22/2023,Event 99,Community Outreach,MHFA (Mental Health First Aid),1,Virtual,Grady,42,44,62,94%,Business,Yes,Expand Access in Rural/Under Resourced Area,9,4,10,8,2,7,9,5,No additional notes
11/29/2023,Event 86,Community Outreach,N/A,3,Virtual,Brooks,71,68,32,91%,First Responders,No,Convene and Align Training Groups,7,6,1,0,10,0,10,10,No additional notes
10/28/2023,Event 43,Training,N/A,3,Virtual,Miller,51,95,56,56%,First Responders,No,Promote Sustainable Systems/Policy Change,7,8,0,7,2,0,9,6,No additional notes
10/29/2023,Event 54,Training,CRM (Community Resiliency Model),4,In-Person,Seminole,71,29,94,N/A,Business,No,Promote Sustainable Systems/Policy Change,10,3,7,6,7,2,1,10,No additional notes
12/13/2023,Event 8,Community Outreach,Connections Matter,2,In-Person,Decatur,92,67,78,87%,Youth-Serving Org,No,Prevent ACEs/Foster PCEs,1,4,9,1,6,1,1,2,No additional notes
11/16/2023,Event 11,Community Outreach,MHFA (Mental Health First Aid),3,In-Person,Grady,71,32,19,95%,Parents/Caregivers,Yes,Prevent ACEs/Foster PCEs,2,10,6,0,1,3,9,6,No additional notes
10/23/2023,Event 21,Awareness Event,MHFA (Mental Health First Aid),4,In-Person,Colquitt,23,63,50,99%,Social Services,No,Promote Sustainable Systems/Policy Change,10,8,6,10,1,0,8,7,No additional notes
11/05/2023,Event 99,Training,N/A,1,Virtual,Grady,47,14,39,N/A,Faith-Based Org,Yes,Expand Access in Rural/Under Resourced Area,5,0,1,4,6,7,8,5,Special remarks
10/17/2023,Event 76,Training,"QPR (Question, Persuade, Refer)",2,In-Person,Brooks,65,58,59,99%,Parents/Caregivers,No,Convene and Align Training Groups,0,9,9,8,4,5,5,2,No additional notes
10/17/2023,Event 95,Awareness Event,CRM (Community Resiliency Model),3,In-Person,Colquitt,61,45,58,N/A,Business,No,Prevent ACEs/Foster PCEs,1,5,7,10,9,5,4,2,No additional notes
10/27/2023,Event 6,Awareness Event,N/A,2,Virtual,Decatur,80,35,33,N/A,First Responders,Yes,Promote Sustainable Systems/Policy Change,2,6,8,1,7,0,10,2,No additional notes
10/14/2023,Event 27,Training,"QPR (Question, Persuade, Refer)",1,In-Person,Grady,85,62,33,98%,Business,No,Expand Access in Rural/Under Resourced Area,8,9,9,1,0,2,3,7,No additional notes
10/04/2023,Event 9,Training,N/A,2,In-Person,Colquitt,99,96,59,84%,Parents/Caregivers,Yes,Expand Access in Rural/Under Resourced Area,8,10,8,1,6,8,10,2,No additional notes
12/12/2023,Event 98,Awareness Event,Connections Matter,3,In-Person,Decatur,50,32,83,78%,Faith-Based Org,No,Expand Access in Rural/Under Resourced Area,1,6,10,8,7,6,5,1,No additional notes
10/19/2023,Event 97,Community Outreach,Connections Matter,2,In-Person,Early,37,92,17,N/A,Social Services,No,Expand Access in Rural/Under Resourced Area,2,2,2,0,6,10,5,5,No additional notes
11/24/2023,Event 24,Training,N/A,2,In-Person,Brooks,73,16,62,84%,First Responders,Yes,Prevent ACEs/Foster PCEs,10,0,1,9,8,9,10,5,No additional notes
10/12/2023,Event 21,Training,"Resilient Parent, Becoming A",2,Virtual,Colquitt,26,19,65,N/A,Social Services,Yes,Expand Access in Rural/Under Resourced Area,0,8,8,0,2,7,2,2,No additional notes
12/17/2023,Event 85,Community Outreach,N/A,1,In-Person,Colquitt,67,25,10,N/A,First Responders,Yes,Prevent ACEs/Foster PCEs,5,1,8,0,9,4,7,6,No additional notes
10/12/2023,Event 20,Awareness Event,N/A,1,Virtual,Seminole,49,10,97,82%,Community,No,Convene and Align Training Groups,7,10,2,9,10,1,2,9,No additional notes
10/07/2023,Event 3,Training,CRM (Community Resiliency Model),1,In-Person,Early,32,64,63,92%,Community,Yes,Convene and Align Training Groups,0,7,1,7,9,8,1,9,Special remarks
11/12/2023,Event 70,Awareness Event,N/A,3,Virtual,Early,70,24,14,N/A,Social Services,Yes,Prevent ACEs/Foster PCEs,6,5,3,1,3,8,1,4,No additional notes
10/03/2023,Event 49,Community Outreach,ASIST (Applied Suicide Intervention Skills Training),3,Virtual,Miller,45,19,35,N/A,Community,Yes,Promote Sustainable Systems/Policy Change,6,4,9,3,3,5,4,9,No additional notes
11/01/2023,Event 12,Awareness Event,"Resilient Parent, Becoming A",4,Virtual,Mitchell,94,35,33,86%,Business,No,Promote Sustainable Systems/Policy Change,10,0,0,9,10,2,10,1,No additional notes
10/27/2023,Event 52,Training,Connections Matter,4,Virtual,Miller,89,53,56,87%,First Responders,Yes,Prevent ACEs/Foster PCEs,6,0,1,10,1,2,6,4,No additional notes
11/15/2023,Event 4,Training,"QPR (Question, Persuade, Refer)",1,Virtual,Seminole,41,77,89,98%,First Responders,No,Prevent ACEs/Foster PCEs,2,5,8,10,10,9,7,6,No additional notes
